fid,fid_2,calle_numero,codigo_postal,colonia,alcaldia,sup_terreno,sup_construccion,anio_construccion,instal_esp,valor_unitario_suelo,valor_suelo,cve_vus,subsidio,uso_suelo_raw,clasificacion_viabilidad,ratio_construccion_terreno,valor_m2_suelo_estimado,presupuesto_max_m2_alcaldia,accessibility_score,risk_score,commercial_confidence_score,score_tamano,score_subutilizacion,score_viabilidad_normativa,score_accesibilidad,score_riesgo,score_validacion_comercial,opportunity_score
1079090.0,1511378.0,S/N S/N,14906.0,ZONA RUSTICA,TLALPAN,3486018.0,373.0,2009.0,0,297.89,1038449902.02,A141099,0.0,,revision manual,0.00010699887378665285,297.89,17000,0.5,0.8,0.0,1.0,0.9997622247249186,0.6,0.5,0.8,0.0,0.6749524449449837
1007654.0,1372125.0,CARLOS LAZO S/N,14219.0,PARQUE NAL DEL PEDREGAL ( BOSQUE DEL,TLALPAN,1477401.0,1944.0,2009.0,1,11460.85,,C-14-H,0.0,,revision manual,0.0013158242075103509,,17000,0.5,0.8,0.0,0.4236753626315484,0.9970759462055325,0.6,0.5,0.8,0.0,0.5591502617674162
1003626.0,1507801.0,CARR. AJUSCO -PICACHOS/N,0.0,AMPL. EJIDO SAN ANDRES TOT.,TLALPAN,1493564.56,23620.17,2000.0,0,297.89,444917946.7784,A141099,0.0,,revision manual,0.01581462939908001,297.89,17000,0.5,0.8,0.0,0.4283131098255547,0.9648563791131556,0.6,0.5,0.8,0.0,0.5536338977877421
1007653.0,1372126.0,CAM A SANTA TERESA S/N,14219.0,PARQUE NAL DEL PEDREGAL ( BOSQUE DEL,TLALPAN,917526.0,10915.0,2009.0,1,4165.93,,A140107,0.0,,revision manual,0.011896120654891524,,17000,0.5,0.8,0.0,0.263032613741809,0.9735641763224633,0.6,0.5,0.8,0.0,0.5223193580128545
1079918.0,1511349.0,CARR FEDERAL A CUERNAVACA S/N,14905.0,ZONA RUSTICA,TLALPAN,757357.0,10.0,2009.0,0,297.89,225609076.73,A141099,0.0,,revision manual,1.320381273296477e-05,297.89,17000,0.5,0.8,0.0,0.21707594761647622,0.9999706581939267,0.6,0.5,0.8,0.0,0.5184093211620806
1052525.0,112440.0,"CL. GLORIETA SUR, 64",14620.0,CLUB DE GOLF MEXICO,TLALPAN,745805.4,144.58,1990.0,1,4665.24,3479361184.296,A140197,0.0,,revision manual,0.00019385753978182514,4665.24,17000,0.5,0.8,0.0,0.21376149210752385,0.9995692054671514,0.6,0.5,0.8,0.0,0.5176661395149351
1079036.0,1511380.0,S/N S/N,14906.0,ZONA RUSTICA,TLALPAN,560254.0,8.0,2009.0,0,297.89,166894064.06,A141099,0.0,,revision manual,1.4279237631502854e-05,297.89,17000,0.5,0.8,0.0,0.16052195300265293,0.9999682683608189,0.6,0.5,0.8,0.0,0.5070980442726944
1061586.0,1510842.0,CARRETERA MEXICO AJUSCO 4427,0.0,PO DE SANTO TOMAS AJUSCO,TLALPAN,549236.67,5095.96,2000.0,0,297.89,163612111.6263,A141099,0.0,,revision manual,0.009278258860611037,297.89,17000,0.5,0.8,0.0,0.15736079349986143,0.9793816469764199,0.6,0.5,0.8,0.0,0.5023484880952562
1024729.0,1508581.0,"CL. S/N, S/N",14657.0,ZONA RUSTICA,TLALPAN,450004.39,0.0,2016.0,0,1028.27,462726014.1053,A141149,0.0,,revision manual,0.0,1028.27,17000,0.5,0.8,0.0,0.12888846264423057,1.0,0.6,0.5,0.8,0.0,0.5007776925288462
1003620.0,1455905.0,FRACCC.QUE FORM.PART.HACC.DE SN NICOLAS DE ESLAVA,1000.0,SAN ANGEL,TLALPAN,450000.0,0.0,,0,297.89,,A141099,0.0,,revision manual,0.0,,17000,0.5,0.8,0.0,0.12888720303866213,1.0,0.6,0.5,0.8,0.0,0.5007774406077324
1031221.0,1119751.0,"CL. EL MIRADOR, S/N",14657.0,ZONA RUSTICA,TLALPAN,346043.8,0.0,2018.0,1,737.05,255051582.79,A141139,0.0,,revision manual,0.0,737.05,17000,0.5,0.8,0.0,0.09905945625209098,1.0,0.6,0.5,0.8,0.0,0.49481189125041825
1031213.0,1119750.0,FLOR SILVESTRE S/N,14450.0,SAN PEDRO MARTIR,TLALPAN,346005.0,0.0,2009.0,0,737.05,255022985.25,A141139,0.0,,revision manual,0.0,737.05,17000,0.5,0.8,0.0,0.09904832351950438,1.0,0.6,0.5,0.8,0.0,0.4948096647039009
1078816.0,1511802.0,"CL. AUTOPISTA MEXICO CUERNAVACA, S/N",14713.0,ZONA RUSTICA,TLALPAN,315091.87,0.0,2009.0,0,297.89,93862717.1543,A141099,0.0,,revision manual,0.0,297.89000000000004,17000,0.5,0.8,0.0,0.09017853976422709,1.0,0.6,0.5,0.8,0.0,0.49303570795284546
1059616.0,1120887.0,PARAJE LA LECHERA S/N,14653.0,HEROICO COLEGIO MILITAR,TLALPAN,279807.0,0.0,2010.0,0,1361.68,381007595.76,A140447,0.0,,revision manual,0.0,1361.68,17000,0.5,0.8,0.0,0.08005438971105969,1.0,0.6,0.5,0.8,0.0,0.491010877942212
1069655.0,199874.0,"CARRETERA FEDERAL MEXICO-CUERNAVACA, S/N",14550.0,ZONA RUSTICA,TLALPAN,243795.1,217.12,2008.0,1,297.89,72624122.339,A141099,0.0,,revision manual,0.0008905839370848716,297.89,17000,0.5,0.8,0.0,0.06972163577715942,0.9980209245842558,0.6,0.5,0.8,0.0,0.4885485120722831
1069652.0,1511640.0,"CMO. ANTIGUO SANTA ANA, 28",14550.0,ZONA RUSTICA,TLALPAN,204489.94,0.0,2020.0,0,297.89,60915508.2266,A141099,0.0,,revision manual,0.0,297.89,17000,0.5,0.8,0.0,0.05844395960310087,1.0,0.6,0.5,0.8,0.0,0.4866887919206202
1019453.0,1120495.0,AV CANTERA 210,14410.0,FUENTES BROTANTES,TLALPAN,188282.0,0.0,2007.0,0,1028.27,193604732.14,A141149,0.0,,revision manual,0.0,1028.27,17000,0.5,0.8,0.0,0.05379347862888347,1.0,0.6,0.5,0.8,0.0,0.48575869572577673
1004665.0,948834.0,AV INSURGENTES SUR S/N,14030.0,ISIDRO FABELA,TLALPAN,206985.0,813.0,2009.0,1,13195.33,,C-14-F,0.0,,revision manual,0.00392782085658381,,17000,0.5,0.8,0.0,0.05915985743216063,0.9912715092075916,0.6,0.5,0.8,0.0,0.48508627332795046
1033464.0,1124435.0,"CL. S/N, S/N",14657.0,ZONA RUSTICA,TLALPAN,171546.81,150.77,2009.0,0,737.05,126438576.3105,A141139,0.0,,revision manual,0.0008788854773807802,737.05,17000,0.5,0.8,0.0,0.0489917158697103,0.998046921161376,0.6,0.5,0.8,0.0,0.4844077274062173
